楼盘名称,平米数,总价,单价
甘水桥，满五年，南北通透两居室,60.49平米,680万,"112,416元/平"
北竹杆胡同南北通透2居室 板楼通风效果好,68.7平米,780万,"113,538元/平"
2005年社区 近地铁 无遮挡 视野很好,63.75平米,685万,"107,451元/平"
安德路乙61号院，电梯3居室，超大阳台。,111.04平米,1315万,"118,426元/平"
中绦胡同甲2号院 原单位分房、诚意出售、,61.56平米,786万,"127,681元/平"
中海紫御满五唯一，对花园带大储物间,67.71平米,790万,"116,675元/平"
安化南里 满五年 家庭只有一套住宅,70.03平米,736万,"105,098元/平"
东城区 建予园 电梯两居室 有钥匙,71.39平米,588万,"82,365元/平"
老东城   景山东华门  电梯直达三居室  拎包入住,76.66平米,928万,"121,055元/平"
小区中间 高层 安静  视野开阔  随时看房,77.58平米,850万,"109,565元/平"
东城百荣嘉园 满五唯一中楼层视野好 临双地铁,45.99平米,425万,"92,412元/平"
中间楼层 不临街 装修好 南北通透两居室 诚心出售,55.12平米,758万,"137,519元/平"
崇文门西大街双朝南两居室 采光好,49.25平米,550万,"111,676元/平"
房子满五唯一二层，不临街，采光好，户型方正产权清晰,53.04平米,579万,"109,163元/平"
东城区 南北通透两居室 看房方便,59.34平米,580万,"97,742元/平"
东城区 满五年唯一商品房 双地铁 高楼层 无遮挡,72.91平米,555万,"76,122元/平"
东华门大街南北通透精装修两居室,60.68平米,820万,"135,136元/平"
海运仓一居 满五  格局方正 有电梯视野开阔,52.02平米,635万,"122,069元/平"
大羊宜宾胡同33号院  全国政协家属楼,44.32平米,568万,"128,159元/平"
"业主诚心出售，满五年，看房提前预约,楼层好",55.47平米,653万,"117,722元/平"
东堂子胡同 冶金部家属楼 南北通透 楼层好,55.39平米,659万,"118,975元/平"
东直门海运仓小区 西南向电梯直达两居室,72.85平米,870万,"119,424元/平"
安外花园 电梯 南向 一室一厅 满五年唯一 诚意出售,46.56平米,560万,"120,275元/平"
东华门 板楼户型南北东 低楼层 户型方正 满五年唯一,45.6平米,650万,"142,544元/平"
东单 西总布胡同 板楼南向精装一居室 业主诚心出售,45.85平米,588万,"128,245元/平"
新上 民安小区电梯直达 高层 双阳台 楼下是南馆公园,57.14平米,680万,"119,006元/平"
崇崇文区忠实里西区金世纪嘉园小区视野开阔,60.4平米,598万,"99,007元/平"
东直门内大街新上电梯直达南向两居室,76.74平米,850万,"110,764元/平"
北新桥头条，低楼层，精装修，低楼层，不临街,42.54平米,550万,"129,291元/平"
2层南向一居室，不临街，满五年唯一，业主诚意出售。,53.31平米,598万,"112,175元/平"
胡家园小区 满五年  一居室  采光无遮挡 带电梯,42.66平米,510万,"119,550元/平"
兴隆都市馨园，随时签约，离电梯近，高楼层，有钥匙,28.85平米,396万,"137,262元/平"
崇文门西大街  南北通透一居室 户型方正 高楼层,37.51平米,465万,"123,967元/平"
东城区永定门外革新里小区高楼层东南向两居室,60.02平米,420万,"69,977元/平"
东城区和平里2006年电梯楼看小区中庭满五唯一商品房,36.31平米,509万,"140,182元/平"
海关家属楼 汇文 东单协和大面积一居室 满五年唯一,48.82平米,560万,"114,708元/平"
2005年建成正规全南三居室户型方正带南向大阳台,88.18平米,1065万,"120,776元/平"
东直门内北小街8号院西南向两居室,83.33平米,918万,"110,165元/平"
天坛东里南区 全南向 两个卫生间的两居室,69.82平米,616万,"88,227元/平"
广渠门，板楼社区，南北通透，户型方正，前后不临街,70.64平米,795万,"112,543元/平"
新景家园东区  二环内  次新房,117.65平米,1330万,"113,048元/平"
新上 国瑞城东区 南向一居室 中高层 精装修,58.18平米,640万,"110,004元/平"
朝阳门内大街136号院外交部央产房,87.37平米,950万,"108,733元/平"
抽屉胡同 东南朝向 无遮挡 低楼层 交通便利,54.99平米,558万,"101,473元/平"
青年湖北里低楼层南北通透两居，安静，采光好,53.67平米,665万,"123,906元/平"
民旺园 满五年 层高高不压抑  南北向 采光视野无遮挡,81.25平米,1066万,"131,200元/平"
绿景苑 商品房全南两居 5年才出一套 龙体区域,75.24平米,982万,"130,516元/平"
民安小区东直门北中街板楼东西通透两居,60.2平米,665万,"110,466元/平"
满五年唯一，费用少，中高层视野和采光无挡，诚心出售,58.18平米,626万,"107,598元/平"
文汇区域广渠门内大街5号楼南北通透有电梯,65.47平米,670万,"102,337元/平"
东城 东二环 东方银座 高层 南向两居，视野好采光充足,107.45平米,990万,"92,136元/平"
复康南里满五年小区中间位置南北通透三居室,54.3平米,519万,"95,581元/平"
正东国际公寓2004年低密度住宅,210.45平米,1353万,"64,291元/平"
东城区东直门外胡家园中间层南北两居室,56.56平米,635万,"112,271元/平"
新景家园东区  人车分流 小户型 业主诚意出售,29.52平米,496万,"168,022元/平"
东城区 商品房南北板楼 中间层 一梯两户,87.81平米,703万,"80,060元/平"
使馆新城 高层东西三居室 小区园林中间位置,139.31平米,1880万,"134,951元/平"
二环安定门交道口邮电部家属院 南北通透精装两居,54.88平米,860万,"156,706元/平"
满五年唯一 电梯直达 采光好 出行方便,71.62平米,828万,"115,611元/平"
幸福北里小区诚心出售两居室满五年,52.22平米,595万,"113,942元/平"
花市东三条 全南 精装修 不临街 满五年唯一 诚意出售,36.48平米,469万,"128,564元/平"
高楼层，没遮挡，全凸户型，户型少，采光好，住着舒服,78.03平米,895万,"114,700元/平"
二环边 永定门外大街  房本满五年  诚心出售,50.01平米,438万,"87,583元/平"
竹杆胡同东西南向大两居精装修拎包入住,71.96平米,823万,"114,370元/平"
安乙实际看房效果好，中间楼，地理位置好,55.32平米,695万,"125,633元/平"
金桥国际正规一居室，满五年唯一住房,54.41平米,529万,"97,225元/平"
楼龄新，交通配套齐全，客厅方正，好利用。,66.44平米,645万,"97,081元/平"
东城永定门 2015年小区 东南两居室 客厅朝南带阳台,65.84平米,556万,"84,448元/平"
鼎盛园05年商品房满五年唯一双阳台两居,77.38平米,610万,"78,832元/平"
二环边 东城区 新小区 高楼层  精装修 无遮挡 视野好,72.91平米,565万,"77,493元/平"
带电梯两卧朝南，原公安局家属楼，满五唯一，82米地铁,70.56平米,635万,"89,995元/平"
东城安定门 安外西河沿 中间层 独院 满五,51.91平米,620万,"119,438元/平"
海运仓 南北通透两居室 满五年成本价房 中间层 无遮挡,73.65平米,880万,"119,485元/平"
2006年商品房，中间楼层，东西通透两居，满五年唯一,97.18平米,850万,"87,467元/平"
仓南胡同 东四B区 东西通透 低层房,78.16平米,950万,"121,546元/平"
民安小区  精装两居拎包入住   户型方正采光好不临街,75.09平米,888万,"118,259元/平"
