名称,地理位置（字段1）,地理位置（字段2）,地理位置（字段3）,房型,面积（㎡）,均价（元/平米）,总价（万元/套）
中粮天恒天悦壹号,丰台,新宫,南四环地铁新宫站南500米,4室,220,80000,1760.0000
龙湾别墅,顺义,中央别墅区,后沙峪镇龙湾别墅,4室,218,70000,1526.0000
京投发展·锦悦府,密云,鼓楼街道,檀营乡檀东路西侧,3室,79,25607,202.2953
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,4室,330,54625,1802.6250
公园十七区,顺义,后沙峪,顺义区后沙峪火沙路和裕庆路交汇口北500米,3室,90,42000,378.0000
金辰府,昌平,北七家,北京市昌平区北七家镇政府东南100米,3室,89,55000,489.5000
龙湖熙湖悦著,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,2室,73,37000,270.1000
北京华发中央公园,房山,良乡,北京市房山区长于南大街与黄良路交叉口华发中央公园售楼处,3室,85,40000,340.0000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,4室,89,55583,494.6887
华萃西山,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,3室,115,48000,552.0000
保利和光逸境,丰台,青塔,丰台区西四环中路83号,3室,108,89000,961.2000
富兴首府,朝阳,东坝,东坝路9号东北60米,3室,144,85000,1224.0000
中铁诺德阅墅,顺义,中央别墅区,顺义区后沙峪镇裕园路762乡龙湖滟澜山对面,4室,220,55000,1210.0000
中铁华侨城和园,大兴,瀛海,南五环南海子公园西侧约500米,3室,288,50000,1440.0000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,4室,465,140000,6510.0000
合景泰富天汇,顺义,马坡,北京市顺义区顺恒大街金宝花园北区底商104,3室,89,33000,293.7000
懋源·璟玺,朝阳,中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,555,86000,4773.0000
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,135,39000,526.5000
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐,4室,200,39000,780.0000
北京城建宽院国誉府,大兴,大兴新机场洋房别墅区,南北大街与育镇街交叉口西南200米,4室,152,31000,471.2000
禹洲朗廷湾,通州,通州其它,朝阳北路和通顺路交汇处东100米,3室,80,52508,420.0640
金茂北京国际社区,顺义,顺义其它,顺义新城北小营昌金路水色时光路西,1室,50,31000,155.0000
住总如院,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),2室,98,31136,305.1328
郎府书苑,通州,通州其它,西集镇京哈高速郎府出口南侧300米,3室,89,28000,249.2000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号,3室,270,55583,1500.7410
和悦春风,大兴,大兴新机场,庞各庄镇瓜乡路与永兴河交汇处,2室,76,38000,288.8000
阳光城溪山悦,密云,密云其它,密溪路33号,2室,139,25000,347.5000
金禧璞瑅,顺义,顺义其它,高泗路四村段23号,4室,140,47000,658.0000
金禧璞瑅,顺义,顺义其它,高泗路四村段23号,5室,360,36000,1296.0000
熙悦天寰,丰台,丰台其它,鑫博西路与大灰厂东路交口西行20米,,89,60000,534.0000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,87,22000,191.4000
禧瑞金海,平谷,平谷其它,平蓟路与环镇东路交汇,2室,125,22000,275.0000
中国铁建澜廷墅,房山,房山其它,阎吕路中国铁建·山语澜廷,4室,223,28000,624.4000
电建·洺悦湾,大兴,旧宫,旧宫北路旧宫地铁站东侧300米,4室,75,60186,451.3950
保利绿城·和锦诚园,大兴,瀛海,8号线南段地铁站东1.6公里,3室,111,65000,721.5000
金悦郡,通州,通州其它,亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧,2室,72,45000,324.0000
北京庄园,顺义,顺义其它,京承高速第11出口往东800米,4室,540,115000,6210.0000
鑫苑·盛世天玺,通州,九棵树(家乐福),北京市通州区云景南大街61号（高德地图导航盛世天玺营销中心）,4室,89,60000,534.0000
中海甲叁號院,丰台,玉泉营,丰台恒丰路,3室,145,125000,1812.5000
海淀幸福里,海淀,海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,4室,98,83000,813.4000
复地通运府,通州,万达,北京市通州区北大街148号,2室,102,44000,448.8000
北京壹号总部,大兴,亦庄,台湖镇光机电一体化产业基地科创东二街5号,1室,3127,28000,8755.6000
住总兴创如遇,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),1室,53,28000,148.4000
奥森ONE,昌平,西三旗,林翠路东侧东小口休闲公园北侧正对面,4室,128,58858,753.3824
悠唐麒麟公馆,朝阳,朝阳门外,北京市朝阳三丰北里,1室,70,120000,840.0000
中海寰宇视界,房山,长阳,北京市房山区轨道交通房山线稻田地铁站南侧200米处,1室,53,58000,307.4000
国祥府,密云,鼓楼街道,檀西路与新北路交汇处向北约400米,2室,75,28000,210.0000
金隅汇景苑,朝阳,东坝,朝阳区单店西路朝新嘉园西里一区、二区、三区、四区,1室,64,65000,416.0000
首开熙悦观湖,房山,房山其它,青龙湖镇中心区,4室,131,36000,471.6000
天樾书院,昌平,昌平其它,北京市昌平区北七家镇定泗路99号,4室,270,43000,1161.0000
华樾国际,朝阳,朝阳其它,朝阳区东风乡楼梓庄桥西300米路南,3室,151,71000,1072.1000
北京天誉,丰台,十里河,北京市丰台区小红门路312号,3室,150,120000,1800.0000
航城壹号,大兴,大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,100,33000,330.0000
鸿瑞西峰·溪悦府,门头沟,门头沟其它,西山源著售楼处,4室,347,43000,1492.1000
中建·京西印玥,房山,良乡,阳光北大街中建·京西印玥,2室,73,43000,313.9000
长城璞院,怀柔,怀柔其它,距离怀柔区黄花城水长城东侧1.5公里,5室,200,20000,400.0000
盈科中心·景苑,朝阳,三里屯,北京市朝阳区盈科中心景苑C栋,1室,80,140000,1120.0000
国誉万和城,丰台,青塔,西四环14号线大瓦窑站北300m,4室,140,82000,1148.0000
路劲御和府,顺义,顺义其它,仁和园三街路劲御和府,1室,68,42000,285.6000
葛洲坝中国府,丰台,玉泉营,丰台东路46号,4室,350,125000,4375.0000
首开富力·十號国际,顺义,顺义其它,高白路首开富力·十號国际,1室,590,26000,1534.0000
中海京叁號院,大兴,大兴其它,博兴八路与兴海路交叉口,3室,168,70000,1176.0000
保利大都汇,通州,万达,新华北路东侧与永顺东街交汇处,1室,45,36000,162.0000
龙湖云河砚,顺义,顺义其它,北京市顺义区,3室,90,38500,346.5000
龙湖云河砚,顺义,顺义其它,外环路龙湖云河砚,4室,150,38500,577.5000
公园都会,顺义,顺义其它,北京顺义区顺泰路与外环路交汇处,3室,72,39000,280.8000
傲云,朝阳,中央别墅区,顺黄路44号,5室,240,98000,2352.0000
合生me悦,大兴,瀛海,大兴区南五环德茂站西200米,2室,52,65000,338.0000
中建宸庐,顺义,马坡,大营四街中建宸庐,3室,170,40000,680.0000
